tier,held_out_city,seed,model,n_train,n_test,zero_shot,n,rmse,mae,bias,r2,median_ae
deployable,Dushanbe,0,cams_debiased_pooled,0,343,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
deployable,Khujand,0,lightgbm,4821,592,True,592,32.48861964836045,20.623643800108393,-5.334839782239274,0.388491723570486,12.169504381220609
deployable,Khujand,1,lightgbm,4821,592,True,592,32.83223206150981,22.066475124647873,-2.867928302381583,0.37548821635023655,14.15822649795092
deployable,Khujand,2,lightgbm,4821,592,True,592,32.53397031463511,20.89526521808714,-4.47695073733834,0.38678333067791815,12.541784768320118
deployable,Khujand,3,lightgbm,4821,592,True,592,33.01956660667748,22.122991278442292,-3.2537723363542677,0.36834119084776795,14.686496623565088
deployable,Khujand,4,lightgbm,4821,592,True,592,33.03314600867479,21.388495844618863,-4.42970916568444,0.36782154061922445,13.100463498223931
deployable,Khujand,0,cams_debiased_pooled,0,592,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
deployable,Tashkent,0,lightgbm,3674,337,False,337,31.76652221811555,18.937963473379014,-15.696471502596033,-0.05314744497975554,8.2570282166395
deployable,Tashkent,1,lightgbm,3674,337,False,337,30.466561107871293,18.04743349528471,-14.293473424968392,0.031283473724414645,8.398406221403409
deployable,Tashkent,2,lightgbm,3674,337,False,337,32.56610311346393,19.174231023711627,-15.763968355904286,-0.10683127836999295,8.500580013489735
deployable,Tashkent,3,lightgbm,3674,337,False,337,30.331943375673152,17.800021318036148,-13.707930950917556,0.0398251872722758,7.786100317290376
deployable,Tashkent,4,lightgbm,3674,337,False,337,31.457825620530507,18.793424302502196,-14.998746096961648,-0.03277861714813879,8.328678573197923
deployable,Tashkent,0,cams_debiased_pooled,0,337,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
retrospective,Almaty,0,lightgbm,4283,345,False,345,27.371976264904376,21.748340967314416,17.001838828357513,-0.5441439286560203,17.438459678572595
retrospective,Almaty,1,lightgbm,4283,345,False,345,26.043122960147517,20.9499567584206,16.05202913021481,-0.3978532855835011,16.652448540054067
retrospective,Almaty,2,lightgbm,4283,345,False,345,24.919291949535026,20.045346508001625,15.024855700184004,-0.27981402516021436,16.06182620293088
retrospective,Almaty,3,lightgbm,4283,345,False,345,24.483802080913186,19.81302486636656,15.151278550301944,-0.23547280154299344,16.23606711470432
retrospective,Almaty,4,lightgbm,4283,345,False,345,24.901160685805333,20.017231111660983,15.377504797014131,-0.27795231867046866,16.312407365855616
retrospective,Almaty,0,cams_debiased_pooled,0,345,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
retrospective,Ashgabat,0,lightgbm,3882,263,False,263,26.48360227847716,17.040450614176457,6.988447411472729,-1.0329208256270395,11.354037870632645
retrospective,Ashgabat,1,lightgbm,3882,263,False,263,25.1561878435058,16.90549934458446,7.586531486311923,-0.8342393599608586,11.58991584741594
retrospective,Ashgabat,2,lightgbm,3882,263,False,263,25.282177889692072,16.109043903440906,5.594882316877302,-0.8526582558085323,10.096937330595598
retrospective,Ashgabat,3,lightgbm,3882,263,False,263,26.32930324885386,17.06524583645491,7.141306013594851,-1.0093013850923245,11.080375177596228
retrospective,Ashgabat,4,lightgbm,3882,263,False,263,25.534180973478186,16.769838873032718,6.533598382886681,-0.8897755021492466,11.018651215920134
retrospective,Ashgabat,0,cams_debiased_pooled,0,263,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
retrospective,Bishkek,0,lightgbm,3670,334,False,334,20.881896772464845,18.253785626223134,14.325112942266925,-0.6538074159495162,17.25969336739938
retrospective,Bishkek,1,lightgbm,3670,334,False,334,19.11973525260242,16.18089807647341,11.643557238361582,-0.3864646298083556,14.794096978319043
retrospective,Bishkek,2,lightgbm,3670,334,False,334,21.07594107564845,18.366380577584717,14.387898006374884,-0.6846861184485635,17.473418616225565
retrospective,Bishkek,3,lightgbm,3670,334,False,334,21.128045793159206,18.386287964099253,14.501067013926761,-0.6930263012732458,17.227739054635567
retrospective,Bishkek,4,lightgbm,3670,334,False,334,19.598728714038426,16.610669438434606,12.320592440464782,-0.45680307282743615,15.320369354974805
retrospective,Bishkek,0,cams_debiased_pooled,0,334,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
retrospective,Dushanbe,0,lightgbm,3775,343,False,343,43.610239433220286,25.97796647107144,-12.821487758172426,-0.1576274678623386,15.35933837849527
retrospective,Dushanbe,1,lightgbm,3775,343,False,343,43.16523364905338,26.137166046175953,-11.786268399110172,-0.1341227779077978,16.462147147560106
retrospective,Dushanbe,2,lightgbm,3775,343,False,343,43.14715987410593,25.94126562354635,-11.698363682408912,-0.1331732364935465,16.667872113251967
retrospective,Dushanbe,3,lightgbm,3775,343,False,343,42.82692122236215,26.064969802120224,-10.798854680600146,-0.11641481256821318,16.5233145223495
retrospective,Dushanbe,4,lightgbm,3775,343,False,343,42.88442101420496,25.517844816314913,-12.953450860791907,-0.11941464122511736,15.26246004315334
retrospective,Dushanbe,0,cams_debiased_pooled,0,343,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
retrospective,Khujand,0,lightgbm,4821,592,True,592,33.77668913408667,21.368206100241693,-5.460095198374359,0.33904183266633625,12.459993448564429
retrospective,Khujand,1,lightgbm,4821,592,True,592,35.362461147118744,22.741625177946162,-5.715732986320805,0.2755226931125807,13.723449849471374
retrospective,Khujand,2,lightgbm,4821,592,True,592,33.780441874446495,22.01744783296537,-3.9956262857728553,0.3388949537243038,13.741285593954565
retrospective,Khujand,3,lightgbm,4821,592,True,592,33.567320641601576,21.919077864843505,-4.597450083793959,0.3472104794484563,13.553348083180861
retrospective,Khujand,4,lightgbm,4821,592,True,592,33.46759921398363,20.613454834115934,-7.247943739492192,0.3510833180785108,11.182457334753417
retrospective,Khujand,0,cams_debiased_pooled,0,592,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
retrospective,Tashkent,0,lightgbm,3674,337,False,337,28.026638076389272,16.625594916423537,-9.984077594924107,0.18023032880215617,8.085759797069555
retrospective,Tashkent,1,lightgbm,3674,337,False,337,29.020225105351557,17.109185623932497,-10.63192160171845,0.12107586549022575,8.186276357665356
retrospective,Tashkent,2,lightgbm,3674,337,False,337,27.146873018083486,15.996351755201742,-9.124629449277123,0.2308882270708824,7.800046937572606
retrospective,Tashkent,3,lightgbm,3674,337,False,337,28.57687960160973,16.969562646884683,-10.902430919407893,0.1477255945143633,7.734573990064659
retrospective,Tashkent,4,lightgbm,3674,337,False,337,28.56520943497215,16.77158024027281,-10.516497371296808,0.14842155247552347,8.37862983376619
retrospective,Tashkent,0,cams_debiased_pooled,0,337,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
