task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
N,deployable,Almaty,0,lgbm_tuned,"(0.03, 63, 20, 0.9)",37.697874169523004,False,345,17.181908689023526,10.433931002064252,2.9623744981936895,0.39155926522041107,4.649424187523744
N,deployable,Almaty,1,lgbm_tuned,"(0.03, 63, 20, 0.9)",37.697874169523004,False,345,20.688421836711136,11.859477021487573,5.3682381478025345,0.11787486988979345,4.857621787128972
N,deployable,Almaty,2,lgbm_tuned,"(0.03, 63, 20, 0.9)",37.697874169523004,False,345,20.46507809920536,11.72702056270834,5.703964281741749,0.1368181867773911,4.854735523581116
N,deployable,Almaty,3,lgbm_tuned,"(0.03, 63, 20, 0.9)",37.697874169523004,False,345,19.28344163245754,11.265933690897404,4.624394295016647,0.23361929155896088,4.806846399247361
N,deployable,Almaty,4,lgbm_tuned,"(0.03, 63, 20, 0.9)",37.697874169523004,False,345,16.885950744053616,10.188224035599301,2.3944786241227334,0.41233949370476075,4.55912641068844
N,deployable,Almaty,0,cams_debiased_pooled,,,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
N,deployable,Ashgabat,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.839045382653495,False,263,23.496642991936117,14.930179052610276,2.6778807333703885,-0.6002137103874858,8.852761894531067
N,deployable,Ashgabat,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.839045382653495,False,263,23.778748477389666,15.399632021833602,4.320378789447801,-0.6388693634904334,9.724526083713432
N,deployable,Ashgabat,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.839045382653495,False,263,23.67662722366494,14.967087983733995,2.5325170966688515,-0.6248228705749965,9.00850807697367
N,deployable,Ashgabat,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.839045382653495,False,263,22.511471567223484,14.280906323455568,1.5732460161527373,-0.4688387515464485,8.613719861798149
N,deployable,Ashgabat,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",35.839045382653495,False,263,23.032816023727424,14.603633160181868,1.567435123870606,-0.5376603925299428,8.591539040376084
N,deployable,Ashgabat,0,cams_debiased_pooled,,,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
N,deployable,Bishkek,0,lgbm_tuned,"(0.03, 31, 40, 0.9)",36.17457677519829,False,334,18.75379219929116,15.027453778605986,11.555394489137369,-0.3338999153586384,11.653107438797619
N,deployable,Bishkek,1,lgbm_tuned,"(0.03, 31, 40, 0.9)",36.17457677519829,False,334,18.581917838814505,14.957222613553697,11.521427644244232,-0.3095621580439931,11.583156809685338
N,deployable,Bishkek,2,lgbm_tuned,"(0.03, 31, 40, 0.9)",36.17457677519829,False,334,18.619216474804126,15.227876912998555,11.733540232031851,-0.31482468311968437,11.900488335281839
N,deployable,Bishkek,3,lgbm_tuned,"(0.03, 31, 40, 0.9)",36.17457677519829,False,334,18.395382119272416,15.061920017635043,11.533114069225253,-0.2834018864208998,12.162913943076417
N,deployable,Bishkek,4,lgbm_tuned,"(0.03, 31, 40, 0.9)",36.17457677519829,False,334,18.962400768305947,15.509493420933532,12.231745327942425,-0.3637403427457129,12.022186341898788
N,deployable,Bishkek,0,cams_debiased_pooled,,,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
N,deployable,Dushanbe,0,lgbm_tuned,"(0.03, 31, 20, 0.9)",26.80584228803269,False,343,46.27704721568451,27.653543678749372,-24.50551329254506,-0.3035363955204886,13.686890146316369
